episode,return,length
0,980.4001620136845,1001
1,980.4823398960311,1001
2,980.154284862345,1001
3,980.6337537580957,1001
4,980.8108334397482,1001
5,981.5054266589233,1001
6,981.5402442169144,1001
7,980.948700061506,1001
8,982.0043172141598,1001
9,980.4665509990562,1001
10,980.0553495437816,1001
11,982.9097850575228,1001
12,980.8917488173978,1001
13,982.0901141405773,1001
14,980.0688701344739,1001
15,982.2364155569206,1001
16,980.5698682102989,1001
17,983.3493878412816,1001
18,981.1565555012642,1001
19,982.7356662846921,1001
20,981.5542141968309,1001
21,981.805638754459,1001
22,981.2064277119841,1001
23,980.4698792532052,1001
24,980.557678457174,1001
25,982.0990014937495,1001
26,981.0430584810374,1001
27,980.8461718630467,1001
28,980.4565486730623,1001
29,980.2382310176562,1001
30,981.762529786976,1001
31,981.5826595767172,1001
32,981.0027815357548,1001
33,981.2302313522944,1001
34,980.0944764490986,1001
35,981.1902747747902,1001
36,980.2694143057666,1001
37,981.1155737794735,1001
38,980.7285146275864,1001
39,980.2585831454968,1001
40,980.3968199292499,1001
41,980.5678260808666,1001
42,980.842023038061,1001
43,981.7261507633212,1001
44,981.3891913043728,1001
45,981.7487101954814,1001
46,981.6757411290856,1001
47,981.1001300470305,1001
48,981.0440186628354,1001
49,981.0179542289,1001
50,981.1649885842476,1001
51,980.0896045244076,1001
52,982.9551412316711,1001
53,982.4119981894877,1001
54,980.1254874934365,1001
55,980.3620028244247,1001
56,982.4502097683998,1001
57,981.8699795655184,1001
58,981.527763137335,1001
59,980.8682657275215,1001
60,980.9063242823801,1001
61,980.8360826627962,1001
62,980.7839870161202,1001
63,981.9382631505117,1001
64,981.4435384468618,1001
65,980.4736769610537,1001
66,980.83305230887,1001
67,980.8815387425119,1001
68,981.5666883024085,1001
69,982.2842947346238,1001
70,980.2761960359986,1001
71,982.0917760848944,1001
72,980.4688069761783,1001
73,981.833064221978,1001
74,980.482958522625,1001
75,980.0865111821159,1001
76,980.9288831588074,1001
77,980.0762105502455,1001
78,980.9770183057667,1001
79,981.3485237875276,1001
80,980.3229180478293,1001
81,980.8747903475604,1001
82,981.6907587540852,1001
83,982.4222786493816,1001
84,980.7369091669162,1001
85,981.1911626646475,1001
86,981.7491426486646,1001
87,980.2249275528817,1001
88,980.4847139188305,1001
89,982.2160423316033,1001
90,980.2390419565697,1001
91,980.3147906455546,1001
92,980.2607975094257,1001
93,981.1487384699691,1001
94,981.4839678486566,1001
95,980.8333567810581,1001
96,982.1313915742392,1001
97,981.9560557603683,1001
98,982.084409250493,1001
99,980.5458558287442,1001
