episode,return,length
0,895.1216807199684,1001
1,900.635808682885,1001
2,901.7028646958018,1001
3,900.3625222879776,1001
4,899.8684278722693,1001
5,900.6617601994753,1001
6,902.7175716763194,1001
7,900.7585698851259,1001
8,901.3872330191774,1001
9,901.0165054948826,1001
10,900.4658964776511,1001
11,901.1935202044011,1001
12,899.6115588200508,1001
13,896.981513259296,1001
14,902.0646874115213,1001
15,900.2975550648599,1001
16,900.6138454583295,1001
17,900.7809180549239,1001
18,900.8054993787667,1001
19,900.059822983974,1001
20,901.0575966982775,1001
21,900.8912287278484,1001
22,896.9285926875126,1001
23,899.3075847236904,1001
24,902.2725759570286,1001
25,902.0151111051589,1001
26,900.7456191928176,1001
27,900.9442868900059,1001
28,901.9616587647009,1001
29,902.1667150086553,1001
30,900.2312102030261,1001
31,898.9627220777079,1001
32,899.1905696289787,1001
33,900.4057910097954,1001
34,900.3744878239038,1001
35,900.4186960115933,1001
36,900.5891455221956,1001
37,901.368768449779,1001
38,902.3074448833949,1001
39,904.3286243972423,1001
40,897.8709016756814,1001
41,899.4753501959771,1001
42,900.9313474269129,1001
43,899.6263783398089,1001
44,894.5550729215315,1001
45,901.4252665111314,1001
46,896.9452687934103,1001
47,900.1125427163332,1001
48,901.0104959514912,1001
49,900.9383015150781,1001
50,900.473083468902,1001
51,901.3015462221275,1001
52,900.9427367362629,1001
53,898.3318556421269,1001
54,901.271560882554,1001
55,900.8600102946328,1001
56,900.3738970918025,1001
57,900.5926007263275,1001
58,900.2378969455835,1001
59,901.0729919214249,1001
60,897.5431128976816,1001
61,905.3898190522111,1001
62,902.2240744662166,1001
63,901.0012852450274,1001
64,901.2763792237963,1001
65,900.3107012508374,1001
66,901.6132424779422,1001
67,899.8947786210377,1001
68,900.2424761428358,1001
69,902.5838417651037,1001
70,899.5344323294225,1001
71,899.934025314382,1001
72,901.0606585956721,1001
73,898.5822716021281,1001
74,900.048636431381,1001
75,902.8714266819592,1001
76,900.4753210317684,1001
77,897.7194549116193,1001
78,901.065112080247,1001
79,901.7029164996056,1001
80,900.4508498312783,1001
81,901.4809534149676,1001
82,900.2436471761919,1001
83,900.2260727260336,1001
84,900.6375552804585,1001
85,900.7241053507851,1001
86,902.1775042988099,1001
87,901.5117284409799,1001
88,900.4633556657203,1001
89,900.7953847187321,1001
90,900.2478498245541,1001
91,901.2922479132394,1001
92,897.928401162751,1001
93,901.2079244418421,1001
94,901.3486288656848,1001
95,900.1570130984304,1001
96,901.5786782165766,1001
97,900.2842249196673,1001
98,900.814466995591,1001
99,900.7475409308953,1001
