episode,return,length
0,901.2525296780627,1001
1,908.0784029618289,1001
2,906.4405020787661,1001
3,909.2682664315151,1001
4,910.9239273226354,1001
5,910.3681261186355,1001
6,903.6948781806445,1001
7,902.5927985708341,1001
8,913.9088447157945,1001
9,921.2577490306987,1001
10,901.2984600540667,1001
11,901.0396732155872,1001
12,902.6864509057528,1001
13,902.7870496857341,1001
14,900.2557912279475,1001
15,915.9611645044296,1001
16,905.6213171806511,1001
17,909.9245317426319,1001
18,907.6987586314383,1001
19,910.486843823571,1001
20,913.226660402734,1001
21,900.35061790961,1001
22,904.0474036759074,1001
23,901.7589594308967,1001
24,901.1853821771564,1001
25,916.3692563368801,1001
26,908.5157946884195,1001
27,902.7391495459019,1001
28,913.892853654043,1001
29,905.7432167267921,1001
30,901.9863083335126,1001
31,908.4560112510038,1001
32,904.877533098451,1001
33,904.3458234957163,1001
34,916.8392054371648,1001
35,900.9626131972626,1001
36,902.9523518214246,1001
37,903.439004475395,1001
38,905.4344606935426,1001
39,902.9017680541006,1001
40,902.2442951682559,1001
41,901.4075818216024,1001
42,911.1461857283634,1001
43,903.7328357432789,1001
44,903.8706290041355,1001
45,902.1806083751076,1001
46,907.6910015093457,1001
47,900.0845419360037,1001
48,904.6519077448363,1001
49,900.7785869643427,1001
50,902.9622551909207,1001
51,905.1212921411525,1001
52,916.5492610786755,1001
53,902.1573232142364,1001
54,904.5278857505093,1001
55,906.0983515537129,1001
56,904.2359497327888,1001
57,902.175674901827,1001
58,917.7479203552308,1001
59,904.8180756524159,1001
60,909.5883383900372,1001
61,904.7579333272291,1001
62,907.8277922004286,1001
63,906.0290510690367,1001
64,903.5718973013406,1001
65,901.669083963941,1001
66,920.3278751695339,1001
67,914.0442278392713,1001
68,909.3714232582643,1001
69,903.5052611398606,1001
70,915.6312593305754,1001
71,904.5423734639169,1001
72,902.7388796204328,1001
73,909.0083505699992,1001
74,905.4031205171412,1001
75,900.0088045089426,1001
76,900.1258063568329,1001
77,910.2590278198957,1001
78,903.1389024820347,1001
79,908.8341153257666,1001
80,905.0135466876679,1001
81,901.7298649330044,1001
82,906.471490840423,1001
83,903.9468483486658,1001
84,901.3958568999896,1001
85,905.614880517549,1001
86,903.5085797251345,1001
87,907.8477349605713,1001
88,913.1096912827877,1001
89,908.57876486675,1001
90,905.8390557019234,1001
91,904.775888626053,1001
92,908.6890940476894,1001
93,900.0678387237838,1001
94,903.3709640989629,1001
95,911.961735150228,1001
96,908.0854400383429,1001
97,906.5537471638954,1001
98,903.9014410635231,1001
99,907.4448313142442,1001
