episode,return,length
0,996.402094011325,1001
1,998.7029291356754,1001
2,994.4026039151913,1001
3,999.2645022599094,1001
4,996.9823452362826,1001
5,993.201951017076,1001
6,994.4451288815393,1001
7,996.1022789528656,1001
8,997.560405215137,1001
9,999.2032815848116,1001
10,997.1557320262184,1001
11,998.9221441305413,1001
12,993.8596568825852,1001
13,999.0875982045278,1001
14,991.6828666117254,1001
15,993.8528106672036,1001
16,999.7661016665176,1001
17,998.6870517900699,1001
18,999.6286937522787,1001
19,997.0605268365584,1001
20,996.6174990855707,1001
21,999.5635894320757,1001
22,999.6236098006162,1001
23,996.4505215950079,1001
24,992.5953788766515,1001
25,990.3812754973162,1001
26,997.859862159673,1001
27,998.920438889829,1001
28,997.8224795660528,1001
29,994.8370705842929,1001
30,996.9425568508879,1001
31,997.9700117884792,1001
32,996.2605523515189,1001
33,999.1121874892299,1001
34,992.2047121997247,1001
35,993.172048659567,1001
36,995.6307582891385,1001
37,996.7508108680212,1001
38,996.6073954216612,1001
39,997.8794308313289,1001
40,999.7918784722741,1001
41,997.466565301224,1001
42,997.8883556043965,1001
43,998.4934827887572,1001
44,994.9180983451855,1001
45,997.77187677088,1001
46,999.003763964367,1001
47,993.9035411727475,1001
48,993.6008431140037,1001
49,993.640145216836,1001
50,998.3102010407188,1001
51,997.8774747493574,1001
52,998.7426839141707,1001
53,999.2312713244229,1001
54,997.3133794210131,1001
55,997.6422013551527,1001
56,998.5865063556198,1001
57,997.3279485797656,1001
58,999.323304828117,1001
59,998.0431772495774,1001
60,999.7343033525628,1001
61,996.8856923815946,1001
62,999.5646319502704,1001
63,996.2722594663354,1001
64,993.5899716737138,1001
65,998.7746918133055,1001
66,996.8098152726883,1001
67,999.8334450645965,1001
68,996.9086354977532,1001
69,996.0381271937433,1001
70,997.7171455713082,1001
71,996.3574303865348,1001
72,998.0986868106455,1001
73,996.3494410079633,1001
74,998.4487943710155,1001
75,998.0041257242165,1001
76,997.5033293810897,1001
77,998.6056457508655,1001
78,997.2711065918165,1001
79,999.7884243037159,1001
80,997.2418130147016,1001
81,999.2884228647331,1001
82,999.5976437274868,1001
83,999.5936289761712,1001
84,998.2059163575135,1001
85,996.7977123683899,1001
86,999.056787940117,1001
87,995.3846227775368,1001
88,994.3396562905903,1001
89,995.2778258771532,1001
90,991.0574422798222,1001
91,999.4727639154908,1001
92,997.1677244621083,1001
93,997.7701459220066,1001
94,994.7204123884189,1001
95,998.2159207259458,1001
96,997.1413319348268,1001
97,998.284855131331,1001
98,999.809652695231,1001
99,995.2101244153197,1001
