episode,return,length
0,992.4652898956691,1001
1,992.3912348249362,1001
2,994.0537317616089,1001
3,993.6611327266235,1001
4,990.399883219526,1001
5,991.3860405040745,1001
6,992.0113292520919,1001
7,993.7620782060047,1001
8,993.1356486569265,1001
9,992.4860687923052,1001
10,990.6230681599719,1001
11,991.3103285259302,1001
12,990.8917985844432,1001
13,993.5510516432868,1001
14,991.9554720642761,1001
15,991.5943182539562,1001
16,995.8851785402447,1001
17,990.5901370199534,1001
18,993.0543180951308,1001
19,990.8782161785128,1001
20,993.1411952545824,1001
21,990.0400154553481,1001
22,990.7693420140575,1001
23,992.7065377386698,1001
24,993.106682006361,1001
25,992.3115346182062,1001
26,991.986872068319,1001
27,992.9308877766738,1001
28,991.0413828477742,1001
29,993.5582523340719,1001
30,994.5592924190174,1001
31,993.9451434731108,1001
32,992.2424663500356,1001
33,990.0038745940898,1001
34,993.6016189976443,1001
35,990.3984147398522,1001
36,990.2438948577945,1001
37,990.27171227042,1001
38,990.7817372274867,1001
39,994.4055707880938,1001
40,995.1197433604754,1001
41,992.778215952835,1001
42,993.8134629254757,1001
43,994.5553345741648,1001
44,991.2512162941068,1001
45,994.1285188913794,1001
46,994.727937660951,1001
47,994.3708072626604,1001
48,991.0533492066521,1001
49,990.9611983942474,1001
50,990.9312429913698,1001
51,990.2941045663058,1001
52,995.407564135284,1001
53,994.5709792114243,1001
54,991.7411761071012,1001
55,990.4699189061145,1001
56,993.0029113866063,1001
57,992.2858989647528,1001
58,993.2794435557611,1001
59,994.63874678895,1001
60,991.6745899322484,1001
61,995.2771020445136,1001
62,991.5387039839133,1001
63,995.6435220000243,1001
64,995.2589726348131,1001
65,992.9448460995105,1001
66,992.3355540042126,1001
67,993.3188101182827,1001
68,991.4927446935283,1001
69,995.7633900632813,1001
70,995.1771008164422,1001
71,991.4505603943963,1001
72,993.7671690720264,1001
73,992.9611478583729,1001
74,993.3044844420032,1001
75,995.6511470209122,1001
76,992.2998924460778,1001
77,990.0117221694869,1001
78,996.5690062908277,1001
79,992.5946245434517,1001
80,991.4389731719814,1001
81,996.2745129788748,1001
82,994.9176484593701,1001
83,993.9481331711703,1001
84,994.4186297917421,1001
85,993.4434226807733,1001
86,993.0431642565909,1001
87,994.9828388169611,1001
88,994.0650269044818,1001
89,991.3342115166552,1001
90,991.7243664321863,1001
91,991.1585963832421,1001
92,996.0512493258234,1001
93,992.1480018768348,1001
94,992.9013633172503,1001
95,991.217166821096,1001
96,995.0701737691323,1001
97,995.1177180439254,1001
98,990.0919295582484,1001
99,991.09704269063,1001
