episode,return,length
0,989.541390728328,1001
1,989.445004086823,1001
2,989.1887641429934,1001
3,991.5913506653479,1001
4,981.3666059240917,1001
5,988.4002555757935,1001
6,994.6187315953417,1001
7,981.6462494980644,1001
8,991.3676140841549,1001
9,983.8367866087884,1001
10,990.1115596420279,1001
11,977.7261458446,1001
12,990.1576015227166,1001
13,991.311954908866,1001
14,983.4676910737668,1001
15,990.9474573829542,1001
16,977.8275585868893,1001
17,994.8312958011591,1001
18,983.0429653929926,1001
19,988.8762244477342,1001
20,987.4952461349759,1001
21,975.2499708055811,1001
22,975.198348646529,1001
23,984.1788760782713,1001
24,987.6709874446204,1001
25,982.9889849258158,1001
26,995.6033704288094,1001
27,984.7587106190696,1001
28,986.8149188075357,1001
29,990.7537053786367,1001
30,979.0969935133866,1001
31,987.875352681707,1001
32,978.2242342769401,1001
33,992.404459149433,1001
34,975.0532240192895,1001
35,989.8540060962525,1001
36,992.5051771524779,1001
37,982.404919910578,1001
38,992.9401308323236,1001
39,990.0572913182244,1001
40,979.7586978250486,1001
41,994.9068431741995,1001
42,992.0645252343172,1001
43,977.1720022374948,1001
44,986.70593185565,1001
45,975.2249317835033,1001
46,975.3451348944195,1001
47,982.7177700246248,1001
48,979.5021386909116,1001
49,988.0678688539505,1001
50,979.5013961039259,1001
51,994.2983413016669,1001
52,991.0793245355413,1001
53,976.1052073608696,1001
54,990.7116690618988,1001
55,975.7129127655589,1001
56,990.8962467554798,1001
57,991.8464182398735,1001
58,992.3371551839036,1001
59,982.4058102718215,1001
60,977.2261218031103,1001
61,975.6922168461184,1001
62,975.0292774518576,1001
63,983.6484486002743,1001
64,977.2529464698441,1001
65,978.7366402018547,1001
66,993.9979996637176,1001
67,980.5008060645538,1001
68,983.5091716754102,1001
69,979.7972320783991,1001
70,991.3246355892547,1001
71,992.1445827053176,1001
72,976.225095843408,1001
73,992.2275692443317,1001
74,976.2546640784209,1001
75,989.7435721024949,1001
76,991.8560696782789,1001
77,988.8362374565907,1001
78,984.2105762568561,1001
79,987.9436871755496,1001
80,975.937864909831,1001
81,983.3197104336217,1001
82,991.5137476945903,1001
83,987.9072602573162,1001
84,975.4004354971295,1001
85,976.7340847396771,1001
86,989.800235171111,1001
87,980.0084577755038,1001
88,975.3535958010852,1001
89,979.828883435823,1001
90,975.5694358341617,1001
91,991.1272581257746,1001
92,978.2555915495246,1001
93,991.417600898812,1001
94,983.7613291572069,1001
95,980.4043507909737,1001
96,988.6086753912979,1001
97,981.3320972475029,1001
98,993.0299218745173,1001
99,989.1252171019725,1001
