episode,return,length
0,783.5914949665797,1001
1,782.1014140784837,1001
2,780.8374957421739,1001
3,781.9045870816286,1001
4,782.78717098067,1001
5,781.3277288926548,1001
6,781.3970489707816,1001
7,780.7648723044888,1001
8,780.3683286783819,1001
9,781.2113885227039,1001
10,780.4578457059044,1001
11,781.3526719591637,1001
12,784.3895154302601,1001
13,780.5931496082943,1001
14,784.9304484217406,1001
15,784.2785638714291,1001
16,783.6530300975816,1001
17,780.5170729133525,1001
18,782.1064700797295,1001
19,781.0613262345049,1001
20,783.1477262935299,1001
21,780.7706127891446,1001
22,784.3046727650509,1001
23,781.4970307633033,1001
24,783.234173129964,1001
25,780.4061156825359,1001
26,780.7652719036919,1001
27,783.8295505210397,1001
28,784.4495184519891,1001
29,781.3608724148095,1001
30,785.4922001664514,1001
31,783.931683496794,1001
32,780.4626131903468,1001
33,784.0818853264312,1001
34,784.2938096173716,1001
35,784.2298303781025,1001
36,786.495855253272,1001
37,782.613551881671,1001
38,780.6872555999714,1001
39,780.6673125130948,1001
40,780.7484529975269,1001
41,782.3616505030569,1001
42,783.068266444904,1001
43,780.5843080790173,1001
44,781.2975855716537,1001
45,781.0393516118627,1001
46,784.6551502421671,1001
47,781.6171977912012,1001
48,780.3985369217395,1001
49,781.848289571682,1001
50,781.9340375752843,1001
51,781.0871298455799,1001
52,783.7288970631081,1001
53,782.7697411629524,1001
54,780.4302931224776,1001
55,783.2166088630049,1001
56,783.2001591617867,1001
57,780.5723160108231,1001
58,780.8001923307278,1001
59,782.0992560101994,1001
60,781.9365953796639,1001
61,780.5325571447238,1001
62,780.6495796588,1001
63,780.764753932885,1001
64,784.6370142534373,1001
65,780.3912030388951,1001
66,784.7015990100786,1001
67,782.9361006147816,1001
68,782.3224324872388,1001
69,783.895466574208,1001
70,784.2999130147034,1001
71,780.6283689694252,1001
72,783.5176215055234,1001
73,780.3446237523291,1001
74,781.0472724809978,1001
75,782.9338548439457,1001
76,781.8883933379491,1001
77,780.1302859825504,1001
78,782.2726884003197,1001
79,780.7005301769093,1001
80,782.6795334919588,1001
81,780.5288940850832,1001
82,780.1695635144526,1001
83,783.3007243334151,1001
84,781.0091458937085,1001
85,782.8460140116256,1001
86,782.2556629579041,1001
87,783.417275122618,1001
88,781.6951679000504,1001
89,780.9179450485749,1001
90,780.9510891359719,1001
91,781.674973422177,1001
92,784.2884437700053,1001
93,783.0101613038167,1001
94,785.1217413090995,1001
95,783.9326047509288,1001
96,780.9694847649232,1001
97,780.1940934094607,1001
98,781.0535036955037,1001
99,781.2281512380712,1001
