episode,return,length
0,991.3561008386084,1001
1,993.4209439385414,1001
2,995.9413458864636,1001
3,999.7144396203214,1001
4,999.2626606821316,1001
5,995.5443996436348,1001
6,999.5814557038236,1001
7,997.983066815564,1001
8,986.7770222245947,1001
9,999.7657931584619,1001
10,989.283851333679,1001
11,996.4072441506432,1001
12,999.5371471161375,1001
13,998.5348152348612,1001
14,997.5491229218205,1001
15,991.4094649844835,1001
16,988.2420300185003,1001
17,991.8359587787655,1001
18,990.3085179399498,1001
19,993.2620955935499,1001
20,999.3309288762936,1001
21,985.651950280235,1001
22,990.6368969845113,1001
23,985.7838533710012,1001
24,993.5013954580207,1001
25,986.9350667913136,1001
26,992.8360969891362,1001
27,999.4671558816647,1001
28,998.1086314917354,1001
29,986.0000403611853,1001
30,993.5658458916638,1001
31,999.0101212339431,1001
32,999.5357958692839,1001
33,986.7088036172393,1001
34,992.8775824616166,1001
35,991.850293068955,1001
36,998.9825564947427,1001
37,985.0917749289425,1001
38,991.929718690703,1001
39,993.0982431445439,1001
40,992.3172213986066,1001
41,999.350112896204,1001
42,991.0824128606249,1001
43,999.8244848685098,1001
44,988.169982011038,1001
45,985.1895606395112,1001
46,991.7910756124496,1001
47,997.6019012279874,1001
48,999.7064472726279,1001
49,992.550521151438,1001
50,999.709524144305,1001
51,993.1531793652442,1001
52,993.3327236749034,1001
53,997.4912141308234,1001
54,991.6203570484143,1001
55,999.4579984499985,1001
56,999.0365335287167,1001
57,998.5194532149815,1001
58,997.700107090552,1001
59,996.0991596518054,1001
60,994.8784280194653,1001
61,999.4053007885835,1001
62,998.466102101044,1001
63,998.0614237982462,1001
64,993.3035514922072,1001
65,996.3602292689885,1001
66,999.7626536330048,1001
67,992.6698685661174,1001
68,999.039922063416,1001
69,999.3494380994329,1001
70,998.8631049444007,1001
71,999.6127887759726,1001
72,999.6095780522949,1001
73,987.2667530202546,1001
74,992.2309796205343,1001
75,997.0019480122861,1001
76,999.5517876243247,1001
77,999.5181095061226,1001
78,992.560964695485,1001
79,999.0950437765437,1001
80,999.7276599335314,1001
81,986.6789195017901,1001
82,991.0774526911229,1001
83,997.8151646528916,1001
84,993.0378417789932,1001
85,999.058866014285,1001
86,986.0331012331,1001
87,998.6073462268915,1001
88,999.7356022802278,1001
89,998.5822075121325,1001
90,999.7756294156227,1001
91,999.7028469944531,1001
92,987.284621778393,1001
93,985.6259598180902,1001
94,988.5961651122345,1001
95,993.6622666903482,1001
96,999.5272791655639,1001
97,993.5671252716141,1001
98,992.5888417071927,1001
99,999.7682239401189,1001
